Ball,Number
second,9
second,25
second,30
second,26
second,33
second,18
second,16
second,32
second,13
second,7
second,28
second,9
second,20
second,13
second,43
second,20
second,28
second,25
second,40
second,55
second,3
second,12
second,17
second,3
second,23
second,38
second,33
second,8
second,26
second,21
second,48
second,10
second,14
second,19
second,32
second,24
second,41
second,17
second,25
second,31
second,18
second,20
second,3
second,28
second,16
second,49
second,30
second,54
second,18
second,12
second,38
second,15
second,28
second,19
second,11
second,17
second,23
second,39
second,10
second,32
second,11
second,6
second,44
second,44
second,56
second,33
second,11
second,17
second,47
second,7
second,25
second,17
second,15
second,28
second,24
second,34
second,29
second,27
second,40
second,23
second,22
second,27
second,25
second,20
second,30
second,33
second,24
second,7
second,25
second,27
second,32
second,25
second,47
second,12
second,25
second,35
second,25
second,18
second,33
second,22
second,28
second,28
second,44
second,23
second,8
second,23
second,12
second,28
second,23
second,27
second,13
second,11
second,31
second,12
second,17
second,15
second,3
second,13
second,28
second,12
second,12
second,32
second,39
second,51
second,8
second,19
second,11
second,6
second,36
second,40
second,38
second,30
second,10
second,14
second,10
second,27
second,18
second,6
second,29
second,47
second,40
second,22
second,26
second,16
second,12
second,20
second,54
second,31
second,32
second,49
second,20
second,27
second,30
second,26
second,39
second,31
second,29
second,17
second,7
second,3
second,45
second,16
second,22
second,21
second,22
second,12
second,8
second,13
second,13
second,34
second,11
second,13
second,22
second,29
second,31
second,37
second,16
second,39
second,15
second,6
second,24
second,28
second,5
second,10
second,21
second,41
second,32
second,13
second,8
second,9
second,15
second,15
second,12
second,29
second,25
second,15
second,24
second,6
second,26
second,33
second,14
second,22
second,16
second,12
second,19
second,39
second,30
second,4
second,19
second,16
second,25
second,14
second,24
second,36
second,12
second,17
second,19
second,14
second,9
second,24
second,13
second,10
second,36
second,11
second,24
second,19
second,12
second,16
second,4
second,9
second,15
second,18
second,27
second,10
second,12
second,15
second,31
second,13
second,44
second,15
second,30
second,24
second,17
second,49
second,36
second,16
second,39
second,19
second,11
second,3
second,28
second,10
second,30
second,26
second,7
second,19
second,16
second,18
second,4
second,11
second,14
second,23
second,25
second,6
second,14
second,29
second,16
second,28
second,24
second,32
second,8
second,8
second,37
second,12
second,8
second,26
second,30
second,28
second,10
second,17
second,15
second,3
second,25
second,34
second,18
second,20
second,6
second,9
second,33
second,18
second,30
second,7
second,27
second,24
second,16
second,20
second,32
second,33
second,31
second,29
second,15
second,9
second,7
second,25
second,6
second,39
second,26
second,14
second,21
second,13
second,3
second,33
second,28
second,19
second,5
second,15
second,14
second,7
second,8
second,12
second,3
second,17
second,9
second,44
second,25
second,17
second,12
second,23
second,12
second,2
second,14
second,8
second,15
second,28
second,20
second,24
second,35
second,28
second,36
second,24
second,25
second,10
second,20
second,9
second,26
second,25
second,12
second,18
second,29
second,31
second,9
second,5
second,23
second,36
second,6
second,23
second,33
second,26
second,10
second,9
second,12
second,6
second,47
second,7
second,17
second,10
second,17
second,19
second,19
second,9
second,7
second,7
second,17
second,40
second,21
second,11
second,12
second,25
second,24
second,24
second,23
second,29
second,25
second,22
second,8
second,31
second,13
second,6
second,28
second,18
second,19
second,46
second,36
second,22
second,11
second,26
second,28
second,14
second,6
second,31
second,13
second,11
second,13
second,22
second,12
second,26
second,23
second,19
second,8
second,18
second,12
second,36
second,7
second,6
second,23
second,37
second,29
second,14
second,7
second,9
second,37
second,10
second,8
second,14
second,5
second,17
second,16
second,23
second,6
second,27
second,16
second,16
second,22
second,12
second,28
second,21
second,14
second,13
second,30
second,20
second,46
second,13
second,18
second,8
second,23
second,10
second,23
second,17
second,10
second,16
second,32
second,18
second,15
second,10
second,42
second,34
second,7
second,27
second,32
second,18
second,21
second,7
second,5
second,26
second,26
second,23
second,18
second,26
second,16
second,5
second,20
second,33
second,20
second,19
second,11
second,28
second,6
second,29
second,26
second,27
second,13
second,7
second,30
second,16
second,6
second,14
second,31
second,5
second,16
second,22
second,5
second,19
second,15
second,34
second,3
second,17
second,14
second,10
second,22
second,30
second,10
second,10
second,14
second,7
second,13
second,7
second,24
second,7
second,12
second,8
second,39
second,25
second,8
second,22
second,15
second,23
second,13
second,24
second,14
second,16
second,15
second,43
second,14
second,8
second,14
second,35
second,30
second,4
second,11
second,16
second,28
second,12
second,10
second,28
second,23
second,13
second,33
second,19
second,24
second,29
second,30
second,19
second,21
second,35
second,23
second,21
second,16
second,13
second,28
second,24
second,19
second,14
second,18
second,6
second,37
second,30
second,16
second,22
second,35
second,35
second,33
second,14
second,16
second,18
second,8
second,26
second,10
second,12
second,27
second,20
second,12
second,41
second,4
second,47
second,20
second,41
second,19
second,5
second,25
second,19
second,12
second,13
second,17
second,28
second,12
second,18
second,30
second,19
second,40
second,40
second,7
second,4
second,28
second,18
second,9
second,15
second,11
second,30
second,36
second,15
second,21
second,20
second,18
second,37
second,19
second,18
second,20
second,23
second,8
second,12
second,17
second,17
second,11
second,15
second,13
second,24
second,11
second,24
second,33
second,23
second,14
second,18
second,22
second,20
second,10
second,15
second,11
second,39
second,4
second,20
second,23
second,31
second,13
second,32
second,12
second,13
second,32
second,11
second,37
second,14
second,28
second,5
second,31
second,36
second,13
second,21
second,7
second,26
second,22
second,16
second,17
second,33
second,11
second,11
second,8
second,11
second,24
second,10
second,30
second,20
second,12
second,16
second,30
second,8
second,12
second,38
second,7
second,24
second,7
second,17
second,12
second,22
second,6
second,26
second,20
second,44
second,16
second,24
second,18
second,20
second,17
second,35
second,14
second,20
second,22
second,17
second,10
second,32
second,33
second,10
second,22
second,28
second,16
second,11
second,30
second,22
second,27
second,21
second,21
second,41
second,10
second,38
second,30
second,30
second,30
second,11
second,12
second,22
second,34
second,9
second,3
second,6
second,20
second,7
second,21
second,51
second,22
second,34
second,23
second,22
second,12
second,34
second,21
second,14
second,22
second,36
second,15
second,13
second,21
second,20
second,36
second,26
second,16
second,21
second,29
second,9
second,47
second,17
second,27
second,8
second,14
second,8
second,22
second,22
second,36
second,23
second,17
second,19
second,10
second,13
second,19
second,8
second,13
second,7
second,52
second,25
second,29
second,22
second,20
second,31
second,29
second,40
second,21
second,5
second,46
second,22
second,28
second,4
second,30
second,21
second,21
second,24
second,18
second,21
second,36
second,28
second,36
second,39
second,22
second,15
second,20
second,35
second,20
second,22
second,31
second,40
second,4
